,Quarter,Tm,Detail,HOU,NWE
0,2.0,Oilers,Cody Carlson 10 yard rush (Al Del Greco kick),7,0
1,2.0,Oilers,Webster Slaughter 7 yard pass from Warren Moon (Al Del Greco kick),14,0
2,3.0,Patriots,Kevin Turner 7 yard pass from Scott Secules (Scott Sisson kick),14,7
3,3.0,Oilers,Webster Slaughter 2 yard pass from Warren Moon (Al Del Greco kick),21,7
4,4.0,Oilers,Steve Jackson 22 yard interception return (Al Del Greco kick),28,7
5,4.0,Patriots,Leonard Russell 1 yard rush (Scott Sisson kick),28,14
