,Quarter,Tm,Detail,FRN,PRV
0,2.0,Yellow Jackets,Lou Smyth unknown yard rush (Doc Bruder kick),7,0
1,3.0,Steam Roller,Jim Laird unknown yard field goal,7,3
2,3.0,Yellow Jackets,Lou Smyth unknown yard rush (Doc Bruder kick),14,3
3,4.0,Steam Roller,Red Maloney unknown yard field goal,14,6
