,Quarter,Tm,Detail,HOU,DEN
0,1.0,Oilers,Brent Pease 1 yard rush (John Diettrich kick),7,0
1,2.0,Broncos,Mike Clendenen 28 yard field goal,7,3
2,2.0,Oilers,John Diettrich 43 yard field goal,10,3
3,2.0,Oilers,Andrew Jackson 16 yard rush (John Diettrich kick),17,3
4,2.0,Broncos,Rick Massie 21 yard pass from Ken Karcher (Mike Clendenen kick),17,10
5,3.0,Oilers,John Diettrich 39 yard field goal,20,10
6,3.0,Oilers,Eugene Seale 73 yard interception return (John Diettrich kick),27,10
7,4.0,Oilers,Mark Gehring 31 yard pass from Brent Pease (John Diettrich kick),34,10
8,4.0,Oilers,John Diettrich 44 yard field goal,37,10
9,4.0,Oilers,John Diettrich 27 yard field goal,40,10
