,Quarter,Time,Tm,Detail,OAK,ATL
0,1.0,,Falcons,Harold Green 1 yard rush (Morten Andersen kick),0,7
1,1.0,,Raiders,Napoleon Kaufman 61 yard rush (Cole Ford kick),7,7
2,2.0,,Falcons,O.J. Santiago 1 yard pass from Chris Chandler (Morten Andersen kick),7,14
3,2.0,,Raiders,Cole Ford 49 yard field goal,10,14
4,3.0,,Raiders,James Jett 51 yard pass from Jeff George (Cole Ford kick),17,14
5,3.0,,Falcons,Bob Christian 3 yard pass from Chris Chandler (Morten Andersen kick),17,21
6,3.0,,Raiders,Kenny Shedd 25 yard fumble return (Cole Ford kick),24,21
7,3.0,,Falcons,Morten Andersen 51 yard field goal,24,24
8,3.0,,Raiders,Napoleon Kaufman 58 yard rush (Cole Ford kick),31,24
9,4.0,,Falcons,Terance Mathis 6 yard pass from Billy Joe Tolliver (Morten Andersen kick),31,31
10,4.0,,Raiders,Cole Ford 31 yard field goal,34,31
11,4.0,,Raiders,"Safety, Russell sacked Tolliver in end zone",36,31
