,Quarter,Tm,Detail,BAL,MIA
0,1.0,Dolphins,Garo Yepremian 27 yard field goal,0,3
1,1.0,Colts,Toni Linhart 32 yard field goal,3,3
2,1.0,Colts,Toni Linhart 27 yard field goal,6,3
3,2.0,Dolphins,Andre Tillman 15 yard pass from Bob Griese (Garo Yepremian kick),6,10
4,4.0,Dolphins,Leroy Harris 77 yard rush (Garo Yepremian kick),6,17
