,Quarter,Tm,Detail,CRD,GNB
0,2.0,Packers,Milt Gantenbein 8 yard pass from Bob Monnett (Clarke Hinkle kick),0,7
1,2.0,Packers,Clarke Hinkle 3 yard rush (Tiny Engebretsen kick),0,14
2,3.0,Packers,Arnie Herber 15 yard pass from Cecil Isbell (Tiny Engebretsen kick),0,21
3,3.0,Cardinals,Jimmy Lawrence unknown yard rush (Bill Smith kick),7,21
4,3.0,Packers,Ed Jankowski 2 yard rush (Clarke Hinkle kick),7,28
