,Quarter,Tm,Detail,DEN,CLE
0,1.0,Browns,Kevin Mack 3 yard rush (Matt Stover kick),0,7
1,2.0,Broncos,Mike Young 30 yard pass from John Elway (David Treadwell kick),7,7
2,4.0,Broncos,Vance Johnson 6 yard pass from John Elway (David Treadwell kick),14,7
3,4.0,Broncos,David Treadwell 37 yard field goal,17,7
