,Quarter,Tm,Detail,RAM,MIA
0,1.0,Dolphins,Benny Malone 2 yard rush (Garo Yepremian kick),0,7
1,2.0,Dolphins,Norm Bulaich 28 yard rush (Garo Yepremian kick),0,14
2,3.0,Rams,Ron Jessie 58 yard pass from James Harris (Tom Dempsey kick),7,14
3,3.0,Dolphins,Stan Winfrey 1 yard rush (Garo Yepremian kick),7,21
4,3.0,Rams,Ron Jessie 43 yard pass from James Harris (Tom Dempsey kick),14,21
5,4.0,Rams,James Harris 1 yard rush (Tom Dempsey kick),21,21
6,4.0,Rams,Lawrence McCutcheon 9 yard rush (Tom Dempsey kick),28,21
7,4.0,Dolphins,Nat Moore 47 yard pass from Bob Griese (Garo Yepremian kick),28,28
8,4.0,Rams,Tom Dempsey 19 yard field goal,31,28
