,Quarter,Tm,Detail,KAN,SDG
0,1.0,Chiefs,Dale Carter 46 yard punt return (Nick Lowery kick),7,0
1,1.0,Chargers,John Carney 45 yard field goal,7,3
2,2.0,Chiefs,Nick Lowery 21 yard field goal,10,3
3,3.0,Chiefs,Kevin Ross 99 yard interception return (Nick Lowery kick),17,3
4,4.0,Chargers,Rod Bernstine 2 yard rush (John Carney kick),17,10
5,4.0,Chiefs,Barry Word 1 yard rush (Nick Lowery kick),24,10
