,Quarter,Time,Tm,Detail,TEN,OAK
0,3.0,9:05,Titans,Joe Nedney 22 yard field goal,3,0
1,3.0,1:54,Titans,Kevin Dyson 30 yard pass from Steve McNair (Joe Nedney kick),10,0
2,4.0,14:13,Raiders,Roland Williams 4 yard pass from Rich Gannon (Sebastian Janikowski kick),10,7
3,4.0,12:55,Raiders,Sebastian Janikowski 35 yard field goal,10,10
4,4.0,1:47,Titans,Joe Nedney 21 yard field goal,13,10
