,Quarter,Tm,Detail,CHI,MIN
0,3.0,Bears,Roger LeClerc 13 yard field goal,3,0
1,3.0,Bears,Ronnie Bull 24 yard rush (Roger LeClerc kick),10,0
2,4.0,Bears,Roger LeClerc 40 yard field goal,13,0
