,Quarter,Tm,Detail,PHI,DAL
0,1.0,Eagles,Anthony Toney 10 yard pass from Randall Cunningham (Roger Ruzek kick),7,0
1,2.0,Cowboys,Ken Willis 43 yard field goal,7,3
2,3.0,Cowboys,Ken Willis 43 yard field goal,7,6
3,4.0,Eagles,Heath Sherman 19 yard rush (Roger Ruzek kick),14,6
4,4.0,Cowboys,Jay Novacek 29 yard pass from Troy Aikman (Ken Willis kick),14,13
5,4.0,Cowboys,Emmitt Smith 3 yard rush (Ken Willis kick),14,20
6,4.0,Eagles,Calvin Williams 10 yard pass from Randall Cunningham (Roger Ruzek kick),21,20
