,Quarter,Tm,Detail,STL,NOR
0,1.0,Saints,Charlie Durkee 21 yard field goal,0,3
1,2.0,Saints,Danny Abramowicz 29 yard pass from Billy Kilmer (Charlie Durkee kick),0,10
2,3.0,Saints,Danny Abramowicz 10 yard pass from Billy Kilmer (Charlie Durkee kick),0,17
3,4.0,Cardinals,Chuck Latourette 86 yard punt return (Jim Bakken kick),7,17
4,4.0,Cardinals,Dave Williams 9 yard pass from Charley Johnson (Jim Bakken kick),14,17
5,4.0,Saints,Charlie Durkee 36 yard field goal,14,20
6,4.0,Cardinals,Willis Crenshaw 1 yard rush (Jim Bakken kick),21,20
