,Quarter,Time,Tm,Detail,CLE,PHI
0,1.0,10:45,Eagles,Kevin Curtis 14 yard pass from Donovan McNabb (David Akers kick),0,7
1,1.0,6:48,Browns,Phil Dawson 27 yard field goal,3,7
2,1.0,0:49,Eagles,David Akers 24 yard field goal,3,10
3,2.0,4:45,Eagles,Asante Samuel 50 yard interception return (David Akers kick),3,17
4,3.0,3:34,Eagles,David Akers 34 yard field goal,3,20
5,4.0,14:52,Eagles,David Akers 34 yard field goal,3,23
6,4.0,11:14,Eagles,Greg Lewis 10 yard pass from Donovan McNabb (David Akers kick),3,30
7,4.0,9:11,Browns,Brandon McDonald 24 yard interception return (Phil Dawson kick),10,30
