,Quarter,Tm,Detail,WAS,BKN
0,1.0,Dodgers,Rhoten Shetley unknown yard pass from Ace Parker (Ace Parker kick),0,7
1,2.0,Dodgers,"Safety, Todd tackled in end zone",0,9
2,3.0,Dodgers,Ace Parker 36 yard pass from George Cafego (Ace Parker kick),0,16
3,4.0,Redskins,Bob Masterson 18 yard pass from Sammy Baugh (Bob Masterson kick),7,16
4,4.0,Redskins,Bob Seymour 1 yard rush (Bob Masterson kick),14,16
