,Quarter,Time,Tm,Detail,WAS,PIT
0,1.0,2:05,Steelers,Jeff Reed 33 yard field goal,0,3
1,2.0,11:51,Steelers,Jerome Bettis 4 yard rush (Jeff Reed kick),0,10
2,2.0,4:08,Steelers,Jeff Reed 36 yard field goal,0,13
3,3.0,3:23,Redskins,Chris Cooley 2 yard pass from Patrick Ramsey (John Hall kick),7,13
4,4.0,9:54,Steelers,Jeff Reed 32 yard field goal,7,16
