,Quarter,Tm,Detail,DEN,NYJ
0,1.0,Broncos,Jason Elam 28 yard field goal,3,0
1,1.0,Broncos,Jason Elam 30 yard field goal,6,0
2,2.0,Jets,Cary Blanchard 22 yard field goal,6,3
3,2.0,Jets,Cary Blanchard 43 yard field goal,6,6
4,2.0,Broncos,Cedric Tillman 3 yard pass from John Elway (Jason Elam kick),13,6
5,3.0,Broncos,Glyn Milburn 25 yard pass from John Elway (Jason Elam kick),20,6
6,3.0,Broncos,Jason Elam 30 yard field goal,23,6
7,3.0,Broncos,Jason Elam 41 yard field goal,26,6
8,4.0,Jets,Johnny Mitchell 5 yard pass from Boomer Esiason (Cary Blanchard kick),26,13
9,4.0,Jets,Rob Moore 6 yard pass from Boomer Esiason (Cary Blanchard kick),26,20
