,Quarter,Time,Tm,Detail,TEN,NWE
0,1.0,,Oilers,Al Del Greco 34 yard field goal,3,0
1,1.0,,Patriots,Adam Vinatieri 43 yard field goal,3,3
2,2.0,2:00,Oilers,Al Del Greco 26 yard field goal,6,3
3,2.0,0:05,Patriots,Adam Vinatieri 41 yard field goal,6,6
4,3.0,0:05,Oilers,Eddie George 22 yard pass from Steve McNair (Al Del Greco kick),13,6
5,3.0,0:05,Patriots,Robert Edwards 7 yard rush (Adam Vinatieri kick),13,13
6,4.0,0:05,Oilers,Al Del Greco 45 yard field goal,16,13
7,4.0,0:05,Patriots,Terry Glenn 51 yard pass from Drew Bledsoe (Adam Vinatieri kick),16,20
8,4.0,0:05,Patriots,Lawyer Milloy 30 yard interception return (Adam Vinatieri kick),16,27
