,Quarter,Tm,Detail,CIN,CLE
0,1.0,Browns,Matt Bahr 34 yard field goal,0,3
1,2.0,Bengals,David Fulcher 16 yard interception return (Jim Breech kick),7,3
2,2.0,Browns,Tim Manoa 2 yard rush (Matt Bahr kick),7,10
3,2.0,Bengals,Jim Breech 19 yard field goal,10,10
4,3.0,Browns,Matt Bahr 39 yard field goal,10,13
5,3.0,Browns,Herman Fontenot 1 yard blocked punt return (Matt Bahr kick),10,20
6,3.0,Bengals,Jim Breech 32 yard field goal,13,20
7,4.0,Browns,Matt Bahr 29 yard field goal,13,23
8,4.0,Bengals,Jim Breech 22 yard field goal,16,23
