,Quarter,Tm,Detail,STL,BAL
0,1.0,Colts,Lou Michaels 35 yard field goal,0,3
1,1.0,Colts,Lenny Moore 5 yard rush (Lou Michaels kick),0,10
2,1.0,Colts,Tony Lorick 10 yard rush (Lou Michaels kick),0,17
3,2.0,Colts,Lou Michaels 44 yard field goal,0,20
4,2.0,Cardinals,John David Crow 1 yard rush (Jim Bakken kick),7,20
5,2.0,Colts,Raymond Berry 6 yard pass from Johnny Unitas (Lou Michaels kick),7,27
6,3.0,Cardinals,Jim Bakken 25 yard field goal,10,27
7,3.0,Cardinals,Jim Bakken 37 yard field goal,13,27
8,3.0,Colts,Johnny Unitas 6 yard rush (Lou Michaels kick),13,34
9,3.0,Colts,Lou Michaels 42 yard field goal,13,37
10,4.0,Colts,Tom Matte 80 yard rush (Lou Michaels kick),13,44
11,4.0,Colts,Lou Michaels 37 yard field goal,13,47
12,4.0,Cardinals,Willis Crenshaw 1 yard rush (Jim Bakken kick),20,47
13,4.0,Cardinals,Prentice Gautt 8 yard pass from Charley Johnson (Jim Bakken kick),27,47
