,Quarter,Time,Tm,Detail,MIN,SDG
0,1.0,14:45,Vikings,Percy Harvin 103 yard kickoff return (Ryan Longwell kick),7,0
1,1.0,11:38,Chargers,Mike Tolbert 1 yard pass from Philip Rivers (Mike Scifres kick),7,7
2,2.0,12:56,Vikings,Ryan Longwell 33 yard field goal,10,7
3,2.0,9:44,Vikings,Michael Jenkins 3 yard pass from Donovan McNabb (Ryan Longwell kick),17,7
4,3.0,10:43,Chargers,Mike Tolbert 7 yard rush (Mike Scifres kick),17,14
5,4.0,10:05,Chargers,Mike Scifres 40 yard field goal,17,17
6,4.0,5:01,Chargers,Mike Tolbert 19 yard pass from Philip Rivers (Mike Scifres kick),17,24
