,Quarter,Tm,Detail,BOS,NYG
0,1.0,Giants,Ken Strong 25 yard field goal,0,3
1,1.0,Giants,Red Corzine 13 yard blocked punt return (Ken Strong kick),0,10
2,1.0,Giants,Kink Richards 1 yard rush (Harry Newman kick),0,17
3,3.0,Redskins,Cliff Battles 1 yard rush,6,17
