,Quarter,Tm,Detail,DET,WAS
0,1.0,Redskins,Jeff Moore 7 yard pass from Joe Theismann (Mark Moseley kick),0,7
1,1.0,Redskins,Otis Wonsley 1 yard rush (Mark Moseley kick),0,14
2,2.0,Redskins,Otis Wonsley 1 yard rush (Mark Moseley kick),0,21
3,3.0,Redskins,Otis Wonsley 3 yard rush (Mark Moseley kick),0,28
4,3.0,Lions,James Jones 1 yard rush (Eddie Murray kick),7,28
5,3.0,Lions,Rob Rubick 19 yard pass from Gary Danielson (Eddie Murray kick),14,28
