,Quarter,Tm,Detail,STL,CHI
0,1.0,Bears,Bob Thomas 29 yard field goal,0,3
1,2.0,Cardinals,Jim Bakken 33 yard field goal,3,3
2,4.0,Bears,Walter Payton 5 yard rush (Bob Thomas kick),3,10
3,4.0,Cardinals,Eason Ramson 1 yard pass from Jim Hart (Jim Bakken kick),10,10
4,4.0,Bears,Roland Harper 1 yard rush (Bob Thomas kick),10,17
