,Quarter,Tm,Detail,SFO,NYG
0,1.0,Giants,Lionel Manuel 12 yard pass from Phil Simms (Raul Allegre kick),0,7
1,2.0,49ers,Mike Cofer 35 yard field goal,3,7
2,2.0,49ers,Doug DuBose 1 yard rush (Mike Cofer kick),10,7
3,2.0,Giants,Raul Allegre 36 yard field goal,10,10
4,3.0,49ers,Mike Cofer 26 yard field goal,13,10
5,4.0,Giants,Lionel Manuel 15 yard pass from Phil Simms (Raul Allegre kick),13,17
6,4.0,49ers,Jerry Rice 78 yard pass from Joe Montana (Mike Cofer kick),20,17
