,Quarter,Tm,Detail,NYG,BUF
0,1.0,Bills,O.J. Simpson 1 yard rush (John Leypoldt kick),0,7
1,2.0,Bills,J.D. Hill 13 yard pass from Joe Ferguson (John Leypoldt kick),0,14
2,2.0,Giants,Ray Rhodes 20 yard pass from Craig Morton (George Hunt kick),7,14
3,4.0,Giants,Ron Johnson 13 yard rush (George Hunt kick),14,14
4,4.0,Giants,George Hunt 37 yard field goal,17,14
