,Quarter,Time,Tm,Detail,PIT,JAX
0,2.0,13:10,Jaguars,Josh Lambo 48 yard field goal,0,3
1,2.0,8:34,Jaguars,Josh Lambo 38 yard field goal,0,6
2,2.0,3:37,Jaguars,Josh Lambo 43 yard field goal,0,9
3,3.0,2:09,Jaguars,Leonard Fournette 2 yard rush (Josh Lambo kick),0,16
4,3.0,1:17,Steelers,Antonio Brown 78 yard pass from Ben Roethlisberger,6,16
5,4.0,2:28,Steelers,Vance McDonald 11 yard pass from Ben Roethlisberger (Chris Boswell kick),13,16
6,4.0,0:05,Steelers,Ben Roethlisberger 1 yard rush (Chris Boswell kick),20,16
