,Quarter,Tm,Detail,FRN,NYG
0,2.0,Giants,Hap Moran 18 yard pass from Benny Friedman,0,6
1,2.0,Giants,Ray Flaherty 43 yard pass from Benny Friedman (Benny Friedman kick),0,13
2,2.0,Giants,Jack Hagerty 25 yard pass from Benny Friedman,0,19
3,3.0,Giants,Mule Wilson 55 yard rush (Benny Friedman kick),0,26
4,4.0,Giants,Mickey Murtagh 33 yard rush,0,32
