,Quarter,Tm,Detail,NYG,SEA
0,1.0,Giants,Joe Danelo 43 yard field goal,3,0
1,2.0,Giants,Joe Danelo 32 yard field goal,6,0
2,2.0,Giants,Earnest Gray 48 yard pass from Scott Brunner (Joe Danelo kick),13,0
3,2.0,Seahawks,Dan Doornink 1 yard rush (Efren Herrera kick),13,7
4,3.0,Seahawks,Jim Jodat 1 yard rush (Efren Herrera kick),13,14
5,4.0,Giants,Earnest Gray 50 yard pass from Scott Brunner (Joe Danelo kick),20,14
6,4.0,Seahawks,Steve Largent 34 yard pass from Jim Zorn (Efren Herrera kick),20,21
7,4.0,Giants,Billy Taylor 30 yard rush (Joe Danelo kick),27,21
