,Quarter,Time,Tm,Detail,BAL,WAS
0,2.0,7:45,Redskins,Kris Heppner 37 yard field goal,0,3
1,2.0,3:14,Ravens,Matt Stover 51 yard field goal,3,3
2,4.0,14:18,Redskins,Stephen Davis 33 yard rush (Kris Heppner kick),3,10
