,Quarter,Tm,Detail,RAM,MIN
0,2.0,Vikings,Herschel Walker 2 yard rush (Fuad Reveiz kick),0,7
1,2.0,Vikings,Fuad Reveiz 20 yard field goal,0,10
2,3.0,Rams,Cleveland Gary 1 yard rush (Tony Zendejas kick),7,10
3,3.0,Vikings,Fuad Reveiz 22 yard field goal,7,13
4,4.0,Vikings,Najee Mustafaa 97 yard interception return (Fuad Reveiz kick),7,20
5,4.0,Rams,Henry Ellard 8 yard pass from Jim Everett (Tony Zendejas kick),14,20
