,Quarter,Tm,Detail,ATL,RAM
0,1.0,Rams,Pete Holohan 13 yard pass from Jim Everett (Mike Lansford kick),0,7
1,1.0,Falcons,Shawn Collins 9 yard pass from Chris Miller (Paul McFadden kick),7,7
2,1.0,Rams,Mike Lansford 48 yard field goal,7,10
3,2.0,Rams,Robert Delpino 9 yard pass from Jim Everett (Mike Lansford kick),7,17
4,2.0,Rams,Mike Lansford 35 yard field goal,7,20
5,3.0,Rams,Mike Lansford 27 yard field goal,7,23
6,3.0,Falcons,Keith Jones 3 yard rush (Paul McFadden kick),14,23
7,3.0,Rams,Mike Lansford 42 yard field goal,14,26
