,Quarter,Tm,Detail,CHI,DET
0,1.0,Bears,Vern Mullen unknown yard pass from Paddy Driscoll (Paddy Driscoll kick),7,0
1,4.0,Panthers,Vivian Hultman unknown yard pass from Eddie Scharer (Gus Sonnenberg kick),7,7
2,4.0,Bears,Paddy Driscoll 30 yard field goal,10,7
