,Quarter,Tm,Detail,HOU,OAK
0,2.0,Oilers,Toni Fritsch 35 yard field goal,3,0
1,2.0,Raiders,Arthur Whittington 4 yard rush (Errol Mann kick),3,7
2,2.0,Oilers,Mike Renfro 58 yard pass from Dan Pastorini (Toni Fritsch kick),10,7
3,3.0,Oilers,Mike Barber 17 yard pass from Dan Pastorini (Toni Fritsch kick),17,7
4,3.0,Raiders,Charlie Phillips 96 yard defensive fumble return (Errol Mann kick),17,14
5,4.0,Raiders,Dave Casper 3 yard pass from Ken Stabler (Errol Mann kick),17,21
