,Quarter,Time,Tm,Detail,SEA,CLE
0,1.0,,Browns,Eric Metcalf 6 yard rush (Matt Stover kick),0,7
1,2.0,,Browns,Mark Carrier 35 yard pass from Vinny Testaverde (Matt Stover kick),0,14
2,2.0,,Browns,Vinny Testaverde 1 yard rush (Matt Stover kick),0,21
3,3.0,,Seahawks,John Kasay 30 yard field goal,3,21
4,3.0,,Browns,Derrick Alexander 3 yard pass from Vinny Testaverde (Matt Stover kick),3,28
5,4.0,,Browns,Mark Carrier 14 yard rush (Matt Stover kick),3,35
6,4.0,,Seahawks,James McKnight 25 yard pass from Stan Gelbaugh (pass failed),9,35
