,Quarter,Time,Tm,Detail,NYG,NOR
0,1.0,,Giants,David Treadwell 41 yard field goal,3,0
1,1.0,,Saints,Morten Andersen 29 yard field goal,3,3
2,2.0,,Giants,Mike Sherrard 10 yard pass from Dave Brown (David Treadwell kick),10,3
3,2.0,,Giants,David Treadwell 32 yard field goal,13,3
4,2.0,,Saints,Quinn Early 4 yard pass from Jim Everett (Morten Andersen kick),13,10
5,2.0,,Saints,James Williams 33 yard interception return (Morten Andersen kick),13,17
6,3.0,,Saints,Morten Andersen 32 yard field goal,13,20
7,4.0,,Saints,Derek Brown 3 yard rush (Morten Andersen kick),13,27
8,4.0,,Giants,David Treadwell 35 yard field goal,16,27
9,4.0,,Giants,Mike Sherrard 3 yard pass from Dave Brown (run failed),22,27
