,Quarter,Time,Tm,Detail,KAN,JAX
0,1.0,12:45,Chiefs,Priest Holmes 6 yard rush (Todd Peterson kick),7,0
1,1.0,8:18,Jaguars,Stacey Mack 3 yard rush (Mike Hollis kick),7,7
2,2.0,10:36,Jaguars,Mark Brunell 3 yard rush (Mike Hollis kick),7,14
3,2.0,5:38,Chiefs,Tony Gonzalez 1 yard pass from Trent Green (Todd Peterson kick),14,14
4,2.0,2:56,Jaguars,Mike Hollis 28 yard field goal,14,17
5,2.0,0:00,Chiefs,Todd Peterson 47 yard field goal,17,17
6,3.0,6:31,Chiefs,Todd Peterson 40 yard field goal,20,17
7,3.0,3:30,Chiefs,Tony Gonzalez 12 yard pass from Trent Green (Todd Peterson kick),27,17
8,4.0,13:25,Jaguars,Keenan McCardell 20 yard pass from Mark Brunell (Mike Hollis kick),27,24
9,4.0,5:11,Chiefs,Todd Peterson 29 yard field goal,30,24
10,4.0,0:46,Jaguars,"Safety,",30,26
