,Quarter,Time,Tm,Detail,CHI,DET
0,1.0,,Lions,Tommy Vardell 12 yard pass from Charlie Batch (Jason Hanson kick),0,7
1,2.0,,Bears,Jeff Jaeger 31 yard field goal,3,7
2,2.0,,Lions,Tommy Vardell 3 yard rush (Jason Hanson kick),3,14
3,2.0,0:13,Lions,Jason Hanson 24 yard field goal,3,17
4,3.0,0:13,Lions,Tommy Vardell 1 yard rush,3,23
5,4.0,0:13,Lions,Jason Hanson 25 yard field goal,3,26
