,Quarter,Tm,Detail,CIN,HOU
0,1.0,Bengals,Jim Breech 45 yard field goal,3,0
1,2.0,Oilers,Earl Campbell 2 yard rush (Toni Fritsch kick),3,7
2,3.0,Bengals,Dan Ross 13 yard pass from Ken Anderson (Jim Breech kick),10,7
3,3.0,Oilers,Carl Roaches 96 yard kickoff return (Toni Fritsch kick),10,14
4,4.0,Oilers,Toni Fritsch 48 yard field goal,10,17
