,Quarter,Time,Tm,Detail,NWE,CIN
0,1.0,,Bengals,Steve Broussard 37 yard rush,0,6
1,1.0,,Patriots,Marion Butts 3 yard rush (Matt Bahr kick),7,6
2,2.0,,Patriots,Matt Bahr 43 yard field goal,10,6
3,2.0,,Patriots,Matt Bahr 24 yard field goal,13,6
4,2.0,,Bengals,Carl Pickens 7 yard pass from David Klingler (Doug Pelfrey kick),13,13
5,3.0,,Patriots,Matt Bahr 28 yard field goal,16,13
6,3.0,,Patriots,Matt Bahr 35 yard field goal,19,13
7,3.0,,Bengals,Steve Broussard 8 yard rush (Doug Pelfrey kick),19,20
8,3.0,,Patriots,Michael Timpson 34 yard pass from Drew Bledsoe (pass failed),25,20
9,4.0,,Patriots,Marion Butts 1 yard rush (pass failed),31,20
10,4.0,,Bengals,Carl Pickens 4 yard pass from David Klingler (Steve Broussard run),31,28
