,Quarter,Time,Tm,Detail,IND,NWE
0,1.0,5:51,Colts,Marvin Harrison 42 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
1,1.0,0:37,Colts,Marvin Harrison 10 yard pass from Peyton Manning (Mike Vanderjagt kick),14,0
2,2.0,12:39,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),21,0
3,2.0,7:44,Patriots,Shawn Jefferson 11 yard pass from Drew Bledsoe (Adam Vinatieri kick),21,7
4,2.0,0:48,Colts,Marvin Harrison 8 yard pass from Peyton Manning (Mike Vanderjagt kick),28,7
5,3.0,4:35,Patriots,Terry Allen 8 yard pass from Drew Bledsoe (Adam Vinatieri kick),28,14
6,4.0,9:43,Patriots,Ben Coates 3 yard pass from Drew Bledsoe (Adam Vinatieri kick),28,21
7,4.0,3:03,Patriots,Ben Coates 10 yard pass from Drew Bledsoe (Adam Vinatieri kick),28,28
8,4.0,0:35,Patriots,Adam Vinatieri 26 yard field goal,28,31
