,Quarter,Time,Tm,Detail,SEA,DAL
0,1.0,4:25,Cowboys,Dan Bailey 20 yard field goal,0,3
1,1.0,0:04,Seahawks,Stephen Hauschka 45 yard field goal,3,3
2,2.0,10:23,Cowboys,Dan Bailey 20 yard field goal,3,6
3,2.0,1:03,Seahawks,Stephen Hauschka 32 yard field goal,6,6
4,3.0,8:39,Cowboys,Jason Witten 33 yard pass from Tony Romo (Dan Bailey kick),6,13
5,4.0,14:10,Cowboys,Laurent Robinson 6 yard pass from Tony Romo (Dan Bailey kick),6,20
6,4.0,11:22,Cowboys,Dan Bailey 42 yard field goal,6,23
7,4.0,6:12,Seahawks,Marshawn Lynch 4 yard rush (Stephen Hauschka kick),13,23
