,Quarter,Tm,Detail,STL,WAS
0,1.0,Redskins,Frank Grant 12 yard pass from Billy Kilmer (Mark Moseley kick),0,7
1,3.0,Redskins,Jean Fugett 27 yard pass from Billy Kilmer (Mark Moseley kick),0,14
2,4.0,Cardinals,J.V. Cain 7 yard pass from Jim Hart (Jim Bakken kick),7,14
3,4.0,Redskins,John Riggins 53 yard pass from Billy Kilmer (Mark Moseley kick),7,21
4,4.0,Redskins,Mark Moseley 41 yard field goal,7,24
5,4.0,Cardinals,Wayne Morris 1 yard rush (Jim Bakken kick),14,24
