,Quarter,Tm,Detail,CRD,SFO
0,1.0,Cardinals,Charley Trippi 8 yard rush (Cliff Patton kick),7,0
1,1.0,49ers,Frankie Albert 4 yard rush (Gordie Soltau kick),7,7
2,2.0,Cardinals,Elmer Angsman 80 yard pass from Charley Trippi (Cliff Patton kick),14,7
3,2.0,Cardinals,Don Paul 4 yard rush (Cliff Patton kick),21,7
4,2.0,Cardinals,Cliff Patton 16 yard field goal,24,7
5,3.0,49ers,Frankie Albert 10 yard rush (Gordie Soltau kick),24,14
6,3.0,Cardinals,Cliff Patton 24 yard field goal,27,14
7,4.0,49ers,Pete Schabarum 14 yard rush (Gordie Soltau kick),27,21
