,Quarter,Tm,Detail,PHI,GNB
0,1.0,Packers,Buckets Goldenberg 2 yard rush (Roger Grove kick),0,7
1,1.0,Packers,Wuert Engelmann 45 yard interception return (Roger Grove kick),0,14
2,2.0,Eagles,Swede Hanson 35 yard pass from Red Kirkman (Red Kirkman kick),7,14
3,3.0,Eagles,"Safety, Hinkle fumbled in end zone",9,14
4,4.0,Packers,Buckets Goldenberg 15 yard pass from Bob Monnett (Roger Grove kick),9,21
5,4.0,Packers,Johnny Blood 13 yard pass from Bob Monnett (Bob Monnett kick),9,28
6,4.0,Packers,Buckets Goldenberg 34 yard blocked punt return (Bob Monnett kick),9,35
