,Quarter,Tm,Detail,CLE,PIT
0,1.0,Steelers,Ron Shanklin 8 yard pass from Terry Hanratty (Allan Watson kick),0,7
1,1.0,Browns,Don Cockroft 16 yard field goal,3,7
2,2.0,Browns,Don Cockroft 38 yard field goal,6,7
3,2.0,Steelers,Chuck Beatty 30 yard interception return (Allan Watson kick),6,14
4,3.0,Browns,Don Cockroft 46 yard field goal,9,14
5,3.0,Steelers,Ron Shanklin 81 yard pass from Terry Bradshaw (Allan Watson kick),9,21
6,4.0,Steelers,John Fuqua 57 yard pass from Terry Bradshaw (Allan Watson kick),9,28
