,Quarter,Time,Tm,Detail,GNB,CHI
0,1.0,7:08,Bears,Paul Edinger 37 yard field goal,0,3
1,1.0,1:27,Bears,Paul Edinger 47 yard field goal,0,6
2,2.0,9:33,Packers,Ryan Longwell 40 yard field goal,3,6
3,2.0,0:45,Packers,Bill Schroeder 41 yard pass from Brett Favre (Ryan Longwell kick),10,6
4,2.0,0:00,Bears,Paul Edinger 38 yard field goal,10,9
5,3.0,7:05,Packers,Antonio Freeman 9 yard pass from Brett Favre (Ryan Longwell kick),17,9
6,3.0,3:58,Bears,Paul Edinger 41 yard field goal,17,12
7,4.0,9:10,Packers,Ryan Longwell 31 yard field goal,20,12
