,Quarter,Time,Tm,Detail,DET,DAL
0,1.0,9:28,Cowboys,Dez Bryant 25 yard pass from Tony Romo (Dan Bailey kick),0,7
1,2.0,10:58,Cowboys,Dez Bryant 6 yard pass from Tony Romo (Dan Bailey kick),0,14
2,2.0,6:28,Cowboys,Dan Bailey 41 yard field goal,0,17
3,2.0,4:08,Lions,Jason Hanson 33 yard field goal,3,17
4,2.0,0:00,Cowboys,Dan Bailey 35 yard field goal,3,20
5,3.0,12:23,Cowboys,Jason Witten 1 yard pass from Tony Romo (Dan Bailey kick),3,27
6,3.0,10:12,Lions,Bobby Carpenter 34 yard interception return (Jason Hanson kick),10,27
7,3.0,5:34,Lions,Chris Houston 56 yard interception return (Jason Hanson kick),17,27
8,3.0,0:37,Cowboys,Dan Bailey 23 yard field goal,17,30
9,4.0,13:37,Lions,Calvin Johnson 23 yard pass from Matthew Stafford (Jason Hanson kick),24,30
10,4.0,4:22,Lions,Jason Hanson 51 yard field goal,27,30
11,4.0,1:39,Lions,Calvin Johnson 2 yard pass from Matthew Stafford (Jason Hanson kick),34,30
