,Quarter,Tm,Detail,WAS,DAL
0,1.0,Cowboys,Frank Clarke 40 yard pass from Don Meredith (Dick Bielski kick),0,7
1,1.0,Redskins,Norm Snead 1 yard rush (John Aveni kick),7,7
2,2.0,Redskins,Dale Hackbart 33 yard interception return (John Aveni kick),14,7
3,2.0,Redskins,Fred Dugan 9 yard pass from Norm Snead (John Aveni kick),21,7
4,3.0,Cowboys,Billy Howton 15 yard pass from Don Meredith (Dick Bielski kick),21,14
5,3.0,Cowboys,Don Perkins 2 yard rush (Dick Bielski kick),21,21
6,4.0,Redskins,Norm Snead 1 yard rush (John Aveni kick),28,21
7,4.0,Cowboys,Dick Bielski 3 yard pass from Eddie LeBaron (Dick Bielski kick),28,28
