,Quarter,Tm,Detail,GNB,BOS
0,2.0,Redskins,Jim Musick 1 yard rush,0,6
1,3.0,Redskins,Ernie Pinckert 65 yard interception return (Jim Musick kick),0,13
2,3.0,Packers,Clarke Hinkle 1 yard rush (Bob Monnett kick),7,13
3,4.0,Redskins,Jim Musick 3 yard rush (Jim Musick kick),7,20
