,Quarter,Tm,Detail,TAM,CHI
0,2.0,Buccaneers,Jerry Eckwood 61 yard rush (Neil O'Donoghue kick),7,0
1,2.0,Buccaneers,Neil O'Donoghue 30 yard field goal,10,0
2,2.0,Bears,Bob Thomas 34 yard field goal,10,3
3,3.0,Bears,Bob Thomas 42 yard field goal,10,6
4,4.0,Bears,Walter Payton 65 yard pass from Vince Evans (Bob Thomas kick),10,13
5,4.0,Buccaneers,Isaac Hagins 8 yard pass from Doug Williams (Neil O'Donoghue kick),17,13
