,Quarter,Tm,Detail,PIT,KAN
0,1.0,Chiefs,Jan Stenerud 31 yard field goal,0,3
1,1.0,Steelers,Rocky Bleier 2 yard rush (Roy Gerela kick),7,3
2,2.0,Chiefs,Barry Pearson 13 yard pass from Mike Livingston (Jan Stenerud kick),7,10
3,2.0,Steelers,Preston Pearson 3 yard rush (Roy Gerela kick),14,10
4,2.0,Steelers,Glen Edwards 49 yard interception return (Roy Gerela kick),21,10
5,2.0,Steelers,Roy Gerela 32 yard field goal,24,10
6,3.0,Chiefs,Otis Taylor 10 yard pass from Mike Livingston (Jan Stenerud kick),24,17
7,3.0,Steelers,Roy Gerela 45 yard field goal,27,17
8,3.0,Steelers,Frank Lewis 31 yard pass from Joe Gilliam (Roy Gerela kick),34,17
9,4.0,Chiefs,Elmo Wright 13 yard pass from Mike Livingston (Jan Stenerud kick),34,24
