,Quarter,Time,Tm,Detail,TAM,DEN
0,1.0,10:04,Buccaneers,Chris Godwin 10 yard pass from Tom Brady (Ryan Succop kick),7,0
1,1.0,0:19,Buccaneers,Ryan Succop 43 yard field goal,10,0
2,2.0,11:38,Broncos,Brandon McManus 56 yard field goal,10,3
3,2.0,6:37,Buccaneers,Mike Evans 1 yard pass from Tom Brady (Ryan Succop kick),17,3
4,2.0,2:24,Buccaneers,Mike Evans 1 yard pass from Tom Brady (Ryan Succop kick failed),23,3
5,2.0,0:19,Broncos,Tim Patrick 7 yard pass from Jeff Driskel (Brandon McManus kick),23,10
6,3.0,11:51,Buccaneers,"Safety, Jeff Driskel sacked in end zone by Shaquil Barrett",25,10
7,3.0,0:00,Buccaneers,Ryan Succop 35 yard field goal,28,10
