,Quarter,Tm,Detail,SEA,SDG
0,1.0,Seahawks,Joe Nash 13 yard interception return (John Kasay kick),7,0
1,1.0,Chargers,John Carney 26 yard field goal,7,3
2,1.0,Chargers,John Carney 44 yard field goal,7,6
3,2.0,Seahawks,John Kasay 27 yard field goal,10,6
4,2.0,Chargers,John Carney 50 yard field goal,10,9
5,2.0,Chargers,John Carney 32 yard field goal,10,12
6,4.0,Chargers,John Carney 51 yard field goal,10,15
7,4.0,Chargers,John Carney 19 yard field goal,10,18
8,4.0,Seahawks,"Safety, Kidd downed ball in end zone",12,18
