,Quarter,Tm,Detail,RAM,PHI
0,2.0,Rams,Johnny Drake 38 yard pass from Bob Snyder (Bob Snyder kick),7,0
1,2.0,Eagles,Dave Smukler 12 yard field goal,7,3
2,4.0,Rams,Johnny Drake 25 yard pass from Bob Snyder (Bob Snyder kick),14,3
3,4.0,Rams,Joe Keeble 42 yard pass from Harry Mattos (Harry Mattos kick),21,3
