,Quarter,Tm,Detail,NWE,BUF
0,1,Bills,Tom Dempsey 21 yard field goal,0,3
1,2,Patriots,Horace Ivory 19 yard rush (David Posey kick),7,3
2,3,Patriots,Horace Ivory 5 yard rush (David Posey kick),14,3
3,4,Bills,Bob Chandler 11 yard pass from Joe Ferguson (Tom Dempsey kick),14,10
