,Quarter,Time,Tm,Detail,ATL,IND
0,1.0,9:35,Colts,Dominic Rhodes 11 yard rush (Mike Vanderjagt kick),0,7
1,2.0,10:50,Colts,Marcus Pollard 1 yard pass from Peyton Manning (Mike Vanderjagt kick),0,14
2,2.0,7:53,Falcons,Bob Christian 3 yard rush (Jay Feely kick),7,14
3,2.0,5:06,Colts,Ken Dilger 12 yard pass from Peyton Manning (Mike Vanderjagt kick),7,21
4,2.0,1:05,Falcons,Brian Finneran 18 yard pass from Chris Chandler (Jay Feely kick),14,21
5,2.0,0:19,Colts,Trevor Insley 19 yard pass from Peyton Manning (Mike Vanderjagt kick),14,28
6,3.0,7:06,Falcons,Jay Feely 35 yard field goal,17,28
7,4.0,13:32,Falcons,Jay Feely 32 yard field goal,20,28
8,4.0,11:06,Colts,Dominic Rhodes 11 yard rush (Mike Vanderjagt kick),20,35
9,4.0,9:32,Falcons,Tony Martin 11 yard pass from Chris Chandler (Jay Feely kick),27,35
10,4.0,7:30,Colts,Mike Vanderjagt 39 yard field goal,27,38
11,4.0,1:51,Colts,Mike Vanderjagt 21 yard field goal,27,41
