,Quarter,Tm,Detail,NYG,RAM
0,1.0,Giants,Joe Danelo 22 yard field goal,3,0
1,1.0,Giants,Bob Tucker 14 yard pass from Craig Morton (Joe Danelo kick),10,0
2,2.0,Rams,John Cappelletti 10 yard rush (Tom Dempsey kick),10,7
3,3.0,Rams,Tom Dempsey 44 yard field goal,10,10
4,4.0,Rams,John Cappelletti 32 yard pass from James Harris (Tom Dempsey kick),10,17
5,4.0,Rams,Jim Bertelsen 1 yard rush (Tom Dempsey kick),10,24
