,Quarter,Tm,Detail,CHI,WAS
0,1,Bears,Walter Payton 44 yard rush (Bob Thomas kick),7,0
1,2,Redskins,Mark Moseley 33 yard field goal,7,3
2,3,Bears,Steve Schubert 73 yard punt return (Bob Thomas kick),14,3
3,4,Redskins,Jean Fugett 17 yard pass from Billy Kilmer (Mark Moseley kick),14,10
