,Quarter,Time,Tm,Detail,OAK,SDG
0,1.0,9:37,Raiders,Sebastian Janikowski 40 yard field goal,3,0
1,1.0,4:34,Raiders,Sebastian Janikowski 40 yard field goal,6,0
2,1.0,0:14,Raiders,Sebastian Janikowski 54 yard field goal,9,0
3,2.0,6:55,Raiders,Sebastian Janikowski 29 yard field goal,12,0
4,3.0,8:51,Chargers,Freddie Jones 8 yard pass from Jim Harbaugh (John Carney kick),12,7
5,4.0,5:58,Chargers,Freddie Jones 21 yard pass from Jim Harbaugh (pass failed),12,13
6,4.0,0:13,Raiders,Sebastian Janikowski 24 yard field goal,15,13
