,Quarter,Tm,Detail,BUF,PIT
0,1.0,Bills,Greg Bell 77 yard rush (Scott Norwood kick),7,0
1,2.0,Bills,Jerry Butler 33 yard pass from Bruce Mathison (Scott Norwood kick),14,0
2,2.0,Bills,Don Wilson 61 yard defensive fumble return (Scott Norwood kick),21,0
3,2.0,Steelers,Louis Lipps 13 yard pass from Scott Campbell (Gary Anderson kick),21,7
4,2.0,Steelers,Frank Pollard 4 yard rush (Gary Anderson kick),21,14
5,3.0,Steelers,Gary Anderson 26 yard field goal,21,17
6,3.0,Steelers,Gary Anderson 31 yard field goal,21,20
7,4.0,Bills,Scott Norwood 24 yard field goal,24,20
8,4.0,Steelers,Gary Anderson 45 yard field goal,24,23
9,4.0,Steelers,Walter Abercrombie 2 yard rush (Gary Anderson kick),24,30
