,Quarter,Tm,Detail,SFO,MIN
0,1.0,Vikings,Fran Tarkenton 18 yard rush (Fred Cox kick),0,7
1,3.0,Vikings,Red Phillips 8 yard pass from Fran Tarkenton (Fred Cox kick),0,14
2,3.0,49ers,Tommy Davis 19 yard field goal,3,14
3,4.0,Vikings,Fran Tarkenton 5 yard rush (Fred Cox kick),3,21
4,4.0,Vikings,Preston Carpenter 40 yard pass from Fran Tarkenton (Fred Cox kick),3,28
