,Quarter,Tm,Detail,WAS,TAM
0,1.0,Redskins,Rich Gannon 1 yard rush (Chip Lohmiller kick),7,0
1,2.0,Redskins,Chip Lohmiller 51 yard field goal,10,0
2,3.0,Redskins,Reggie Brooks 78 yard rush (Chip Lohmiller kick),17,0
3,3.0,Buccaneers,Michael Husted 31 yard field goal,17,3
4,3.0,Buccaneers,Ray Seals defensive fumble recovery in end zone (Michael Husted kick),17,10
5,3.0,Redskins,Kurt Gouveia 59 yard interception return,23,10
6,4.0,Buccaneers,Courtney Hawkins 4 yard pass from Craig Erickson (Michael Husted kick),23,17
