,Quarter,Time,Tm,Detail,CIN,NYJ
0,1.0,1:56,Bengals,Corey Dillon 1 yard rush (Neil Rackers kick),7,0
1,2.0,0:18,Jets,John Hall 24 yard field goal,7,3
2,3.0,1:57,Bengals,Corey Dillon 3 yard rush (Neil Rackers kick),14,3
3,4.0,12:50,Jets,James Dearth 1 yard pass from Vinny Testaverde (pass failed),14,9
4,4.0,6:57,Jets,Anthony Becht 2 yard pass from Vinny Testaverde (pass failed),14,15
